matricula,admissão,cargo,observacoes3,desc_situacao,na_compra,titulo_do_cargo,empresa,sindicato
33984,,,,Trabalhando,,DESENVOLVEDOR DE RPA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34004,,,,Trabalhando,,DESENVOLVEDOR DE RPA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31227,,,,Trabalhando,,ANALISTA DE PROCESSOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35632,,,,Trabalhando,,ANALISTA DE RPA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32716,,,,Trabalhando,,TECH LEAD I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30323,,,,Trabalhando,,ANALISTA DE PMO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33503,,,,Trabalhando,,CONSULTOR TECNICO SAP I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33499,,,,Trabalhando,,CONSULTOR TECNICO SAP II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31890,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35435,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31620,,,,Trabalhando,,LIDER DE SAP,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35462,,,,Trabalhando,,ANALISTA DE PMO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26245,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34065,,,,Trabalhando,,DELIVERY MANAGER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35492,,,,Trabalhando,,DELIVERY MANAGER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33288,,,,Trabalhando,,ESPECIALISTA DE PRE-VENDAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34600,,,,Trabalhando,,ARQUITETO DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24442,,,,Trabalhando,,ANALISTA DE SISTEMAS E NEGOCIOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
27119,,,,Trabalhando,,ANALISTA DE SISTEMAS E NEGOCIOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31844,,,,Trabalhando,,ANALISTA DE SUPORTE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32589,,,,Férias,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35395,,,,Trabalhando,,ENGENHEIRO DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32014,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35158,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35175,,,,Trabalhando,,ANALISTA DE SEGURANCA DA INFORMACAO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
28913,,,,Trabalhando,,ANALISTA DEVSECOPS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31258,,,,Trabalhando,,ANALISTA DE INFRAESTRUTURA DE TI II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34928,,,,Trabalhando,,ANALISTA DE INFRAESTRUTURA DE TI III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26346,,,,Trabalhando,,COORDENADOR DE INFRAESTRUTURA DE TI,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35148,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35269,,,,Trabalhando,,DESENVOLVEDOR II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35437,,,,Trabalhando,,TECH LEAD II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34467,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24715,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35304,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35307,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35346,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35685,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35700,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35434,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35442,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35454,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35506,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35543,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35678,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35349,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35352,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35411,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35412,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35413,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35271,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35273,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35293,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35297,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35326,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35337,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35752,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35772,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35780,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35505,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35508,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35544,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35555,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35686,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35687,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35338,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35428,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35436,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35446,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35452,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35408,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35409,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35430,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35476,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35481,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35758,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35433,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35445,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35447,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35448,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35456,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35457,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35759,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25975,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31818,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32255,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31170,,,,Trabalhando,,COORDENADOR DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30652,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31085,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33583,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30209,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33325,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33506,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29384,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33386,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33436,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32217,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34639,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34696,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34698,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34699,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33761,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31786,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31754,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31793,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34874,,,,Trabalhando,,ESPECIALISTA DE PRE-VENDAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35226,,,,Trabalhando,,ANALISTA DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35120,,,,Trabalhando,,ENGENHEIRO DE DADOS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34229,,,,Trabalhando,,ENGENHEIRO DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35702,,,,Trabalhando,,AGILE MASTER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35740,,,,Trabalhando,,AGILE MASTER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35727,,,,Trabalhando,,ENGENHEIRO DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33270,,,,Trabalhando,,ENGENHEIRO DE DADOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25203,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33235,,,,Férias,,ANALISTA DE QUALIDADE DE SOFTWARE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31678,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32915,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32923,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35599,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35718,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32407,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32351,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34442,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34558,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31162,,,,Trabalhando,,LIDER DE BPO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34546,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34608,,,,Trabalhando,,ASSISTENTE DE BPO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33301,,,,Trabalhando,,ASSISTENTE DE BPO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34010,,,,Trabalhando,,GERENTE DE OPERACOES I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35427,,,,Trabalhando,,PRODUCT OWNER III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35731,,,,Trabalhando,,DESIGNER UX/UI II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35459,,,,Trabalhando,,ANALISTA DE SISTEMAS E NEGOCIOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33318,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35218,,,,Trabalhando,,ANALISTA DE SUPORTE I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31003,,,,Trabalhando,,ANALISTA DE SUPORTE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26434,,,,Trabalhando,,ANALISTA ADMINISTRATIVO II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31030,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34667,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34691,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34042,,,,Férias,,ANALISTA DE PROCESSOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34302,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35156,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26997,,,,Trabalhando,,ANALISTA DE QUALIDADE DE SOFTWARE III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
30187,,,,Trabalhando,,ENTERPRISE AGILE COACH,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35697,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35706,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35732,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35786,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35652,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35667,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35747,,,,Trabalhando,,DESENVOLVEDOR III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35403,,,,Trabalhando,,AGILE MASTER,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35764,,,,Trabalhando,,ARQUITETO DE SOLUCOES III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35703,,,,Trabalhando,,ANALISTA DE DADOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35704,,,,Trabalhando,,ENGENHEIRO DE DADOS ESPECIALISTA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35684,,,,Trabalhando,,ENGENHEIRO DE DADOS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32059,,,,Trabalhando,,GERENTE DE PROJETOS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35656,,,,Trabalhando,,ARQUITETO CORPORATIVO III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35748,,,,Trabalhando,,ARQUITETO DE DADOS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35094,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26561,,,,Trabalhando,,CONSULTOR FUNCIONAL SAP I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34969,,,,Trabalhando,,DESENVOLVEDOR I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34678,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35530,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35535,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35629,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35358,,,,Trabalhando,,ASSISTENTE DE BPO I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
